relative_path,class_name,class_index,group_id,group_size,split
Acacia/IMG_6348.JPG,Acacia,0,group_0206,1,train
Acacia/IMG_6349.JPG,Acacia,0,group_0207,1,train
Acacia/IMG_6350.JPG,Acacia,0,group_0208,1,train
Acacia/IMG_6351.JPG,Acacia,0,group_0209,1,train
Acacia/IMG_6352.JPG,Acacia,0,group_0210,1,test
Acacia/IMG_6353.JPG,Acacia,0,group_0211,1,validation
Acacia/IMG_6354.JPG,Acacia,0,group_0212,1,train
Acacia/IMG_6355.JPG,Acacia,0,group_0213,1,test
Acacia/IMG_6356.JPG,Acacia,0,group_0214,1,train
Acacia/IMG_6357.JPG,Acacia,0,group_0215,1,train
Acacia/IMG_6358.JPG,Acacia,0,group_0216,1,train
Acacia/IMG_6359.JPG,Acacia,0,group_0217,1,train
Acacia/IMG_6360.JPG,Acacia,0,group_0218,1,train
Acacia/IMG_6361.JPG,Acacia,0,group_0219,1,train
Acacia/IMG_6362.JPG,Acacia,0,group_0220,1,train
Acacia/IMG_6363.JPG,Acacia,0,group_0221,1,train
Acacia/IMG_6364.JPG,Acacia,0,group_0222,1,validation
Acacia/IMG_6365.JPG,Acacia,0,group_0223,1,validation
Acacia/IMG_6366.JPG,Acacia,0,group_0224,1,train
Acacia/IMG_6367.JPG,Acacia,0,group_0225,1,train
Acacia/IMG_6368.JPG,Acacia,0,group_0226,1,test
Acacia/IMG_6369.JPG,Acacia,0,group_0227,1,train
Acacia/IMG_6370.JPG,Acacia,0,group_0228,1,test
Acacia/IMG_6371.JPG,Acacia,0,group_0229,1,test
Acacia/IMG_6372.JPG,Acacia,0,group_0230,1,train
Acacia/IMG_6373.JPG,Acacia,0,group_0231,1,train
Acacia/IMG_6374.JPG,Acacia,0,group_0232,1,train
Acacia/IMG_6375.JPG,Acacia,0,group_0233,1,train
Acacia/IMG_6376.JPG,Acacia,0,group_0234,1,train
Acacia/IMG_6377.JPG,Acacia,0,group_0235,1,train
Acacia/IMG_6378.JPG,Acacia,0,group_0236,1,train
Acacia/IMG_6379.JPG,Acacia,0,group_0237,1,train
Acacia/IMG_6380.JPG,Acacia,0,group_0238,1,validation
Acacia/IMG_6381.JPG,Acacia,0,group_0239,1,train
Acacia/IMG_6382.JPG,Acacia,0,group_0240,1,train
Acacia/IMG_6383.JPG,Acacia,0,group_0241,1,train
Acacia/IMG_6384.JPG,Acacia,0,group_0242,1,train
Acacia/IMG_6385.JPG,Acacia,0,group_0243,1,train
Acacia/IMG_6386.JPG,Acacia,0,group_0244,1,test
Acacia/IMG_6387.JPG,Acacia,0,group_0245,1,test
Acacia/IMG_6388.JPG,Acacia,0,group_0246,1,train
Acacia/IMG_6389.JPG,Acacia,0,group_0247,1,train
Acacia/IMG_6390.JPG,Acacia,0,group_0248,1,test
Acacia/IMG_6391.JPG,Acacia,0,group_0249,1,train
Acacia/IMG_6392.JPG,Acacia,0,group_0250,1,train
Acacia/IMG_6393.JPG,Acacia,0,group_0251,1,train
Acacia/IMG_6394.JPG,Acacia,0,group_0252,1,train
Acacia/IMG_6395.JPG,Acacia,0,group_0253,1,train
Acacia/IMG_6396.JPG,Acacia,0,group_0254,1,train
Acacia/IMG_6397.JPG,Acacia,0,group_0255,1,test
Acacia/IMG_6398.JPG,Acacia,0,group_0256,1,train
Acacia/IMG_6399.JPG,Acacia,0,group_0257,1,train
Acacia/IMG_6400.JPG,Acacia,0,group_0258,1,train
Acacia/IMG_6401.JPG,Acacia,0,group_0259,1,train
Acacia/IMG_6402.JPG,Acacia,0,group_0260,1,validation
Acacia/IMG_6403.JPG,Acacia,0,group_0261,1,train
Acacia/IMG_6404.JPG,Acacia,0,group_0262,1,train
Acacia/IMG_6405.JPG,Acacia,0,group_0263,1,train
Acacia/IMG_6406.JPG,Acacia,0,group_0264,1,validation
Acacia/IMG_6407.JPG,Acacia,0,group_0265,1,train
Acacia/IMG_6408.JPG,Acacia,0,group_0266,1,validation
Acacia/IMG_6409.JPG,Acacia,0,group_0267,1,test
Acacia/IMG_6410.JPG,Acacia,0,group_0268,1,test
Acacia/IMG_6411.JPG,Acacia,0,group_0269,1,train
Acacia/IMG_6412.JPG,Acacia,0,group_0270,1,train
Acacia/IMG_6413.JPG,Acacia,0,group_0271,1,train
Acacia/IMG_6414.JPG,Acacia,0,group_0272,1,train
Acacia/IMG_6415.JPG,Acacia,0,group_0273,1,train
Acacia/IMG_6416.JPG,Acacia,0,group_0274,1,test
Acacia/IMG_6417.JPG,Acacia,0,group_0275,1,validation
Acacia/IMG_6418.JPG,Acacia,0,group_0276,1,train
Acacia/IMG_6419.JPG,Acacia,0,group_0277,1,train
Acacia/IMG_6420.JPG,Acacia,0,group_0278,1,validation
Acacia/IMG_6421.JPG,Acacia,0,group_0279,1,train
Acacia/IMG_6422.JPG,Acacia,0,group_0280,1,validation
Acacia/IMG_6423.JPG,Acacia,0,group_0281,1,train
Acacia/IMG_6424.JPG,Acacia,0,group_0282,1,train
Acacia/IMG_6425.JPG,Acacia,0,group_0283,1,validation
Acacia/IMG_6426.JPG,Acacia,0,group_0284,1,train
Acacia/IMG_6427.JPG,Acacia,0,group_0285,1,train
Acacia/IMG_6428.JPG,Acacia,0,group_0286,1,train
Acacia/IMG_6429.JPG,Acacia,0,group_0287,1,train
Acacia/IMG_6430.JPG,Acacia,0,group_0288,1,test
Acacia/IMG_6431.JPG,Acacia,0,group_0289,1,train
Acacia/IMG_6432.JPG,Acacia,0,group_0290,1,train
Acacia/IMG_6433.JPG,Acacia,0,group_0291,1,train
Acacia/IMG_6434.JPG,Acacia,0,group_0292,1,train
Acacia/IMG_6435.JPG,Acacia,0,group_0293,1,train
Acacia/IMG_6436.JPG,Acacia,0,group_0294,1,validation
Acacia/IMG_6437.JPG,Acacia,0,group_0295,1,train
Acacia/IMG_6438.JPG,Acacia,0,group_0296,1,validation
Acacia/IMG_6439.JPG,Acacia,0,group_0297,1,train
Acacia/IMG_6440.JPG,Acacia,0,group_0298,1,validation
Acacia/IMG_6441.JPG,Acacia,0,group_0299,1,train
Acacia/IMG_6442.JPG,Acacia,0,group_0300,1,test
Acacia/IMG_6443.JPG,Acacia,0,group_0301,1,train
Acacia/IMG_6444.JPG,Acacia,0,group_0302,1,train
Acacia/IMG_6445.JPG,Acacia,0,group_0303,1,train
